Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,17780.000000,18220.000000,17640.000000,18160.000000,18084.007813,7799730
2017-04-21,18340.000000,18380.000000,17920.000000,18000.000000,17924.677734,4304475
2017-04-24,18120.000000,18300.000000,17860.000000,18040.000000,17964.511719,3048970
2017-04-25,18140.000000,18160.000000,17920.000000,18160.000000,18084.007813,2562850
2017-04-26,18360.000000,18820.000000,18280.000000,18520.000000,18442.500000,6097125
2017-04-27,18600.000000,18600.000000,18240.000000,18280.000000,18203.507813,2437260
2017-04-28,18340.000000,18460.000000,17860.000000,18080.000000,18004.343750,2986010
2017-05-02,18300.000000,18560.000000,18200.000000,18520.000000,18442.500000,2738630
2017-05-04,18760.000000,18980.000000,18640.000000,18800.000000,18721.332031,3209830
2017-05-08,18840.000000,19000.000000,18680.000000,19000.000000,18920.494141,3031450
2017-05-10,19160.000000,19160.000000,18720.000000,18800.000000,18721.332031,2956275
2017-05-11,19160.000000,19200.000000,18960.000000,19040.000000,18960.326172,3714795
2017-05-12,19140.000000,19160.000000,18900.000000,19160.000000,19079.826172,2282085
2017-05-15,19160.000000,19260.000000,18700.000000,18760.000000,18681.498047,3186160
2017-05-16,18900.000000,19080.000000,18820.000000,19040.000000,18960.326172,2615565
2017-05-17,19100.000000,19120.000000,18840.000000,19040.000000,18960.326172,1838580
2017-05-18,18800.000000,19100.000000,18760.000000,19040.000000,18960.326172,2470505
2017-05-19,19100.000000,19680.000000,19100.000000,19600.000000,19517.982422,4320705
2017-05-22,19800.000000,19900.000000,19540.000000,19900.000000,19816.728516,2930360
2017-05-23,19920.000000,19960.000000,19700.000000,19800.000000,19717.146484,2208030
2017-05-24,19780.000000,19900.000000,19640.000000,19900.000000,19816.728516,1828100
2017-05-25,19980.000000,19980.000000,19720.000000,19720.000000,19637.480469,1867235
2017-05-26,19840.000000,20200.000000,19820.000000,19940.000000,19856.562500,2476630
2017-05-29,20040.000000,20040.000000,19820.000000,19840.000000,19756.976563,1910780
2017-05-30,19900.000000,19940.000000,19600.000000,19620.000000,19537.898438,2264700
2017-05-31,19640.000000,19880.000000,19640.000000,19760.000000,19677.312500,2715820
2017-06-01,19800.000000,19880.000000,19640.000000,19760.000000,19677.312500,1343710
2017-06-02,19840.000000,20180.000000,19840.000000,20160.000000,20075.638672,3011640
2017-06-05,20300.000000,20920.000000,20240.000000,20900.000000,20812.541016,4200925
2017-06-07,21000.000000,21660.000000,20840.000000,21600.000000,21509.615234,5093030
2017-06-08,21760.000000,22020.000000,21340.000000,21700.000000,21609.197266,4965485
2017-06-09,21700.000000,22000.000000,21580.000000,21960.000000,21868.109375,2948755
2017-06-12,21400.000000,21560.000000,20680.000000,21000.000000,20912.125000,6400965
2017-06-13,21240.000000,21500.000000,21100.000000,21380.000000,21290.535156,3276315
2017-06-14,21620.000000,21680.000000,21000.000000,21280.000000,21190.953125,3376870
2017-06-15,21340.000000,21380.000000,20960.000000,21100.000000,21011.705078,2094805
2017-06-16,21060.000000,21080.000000,20420.000000,20580.000000,20493.882813,4726900
2017-06-19,20480.000000,20900.000000,20480.000000,20760.000000,20673.128906,1976575
2017-06-20,20980.000000,21000.000000,20220.000000,20300.000000,20215.056641,2788180
2017-06-21,20040.000000,20060.000000,19600.000000,19760.000000,19677.312500,4767990
2017-06-22,19960.000000,19980.000000,19420.000000,19600.000000,19517.982422,2763180
2017-06-23,19560.000000,20300.000000,19500.000000,20300.000000,20215.056641,2702150
2017-06-26,20340.000000,20420.000000,19940.000000,20040.000000,19956.142578,1943290
2017-06-27,20140.000000,20880.000000,20080.000000,20760.000000,20673.128906,3648205
2017-06-28,20440.000000,20600.000000,20100.000000,20160.000000,20075.638672,2092945
2017-06-29,20480.000000,20540.000000,20160.000000,20300.000000,20215.056641,1272900
2017-06-30,20060.000000,20660.000000,20060.000000,20300.000000,20215.056641,1610685
2017-07-03,20480.000000,20540.000000,19820.000000,19880.000000,19796.810547,2331825
2017-07-04,19980.000000,20100.000000,19600.000000,19660.000000,19577.730469,2181985
2017-07-05,19700.000000,20520.000000,19700.000000,20500.000000,20414.218750,2983235
2017-07-06,20660.000000,21180.000000,20640.000000,20820.000000,20732.876953,3537680
2017-07-07,20700.000000,20740.000000,20040.000000,20320.000000,20234.972656,4983980
2017-07-10,20500.000000,20700.000000,20200.000000,20400.000000,20314.636719,1780870
