,year,target_area,no_of_place,sleepnights,accommodation,number_of_ppl,number_of_children,cost_total_trip,cost_total_per_person,satisfied,sex,age,month,living_area,target_beforesplit,transportation,reason,relationship,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_14,target_15,target_16,target_17,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,target_area7,target_area8,target_area9,target_area10,target_area11,transportation1,transportation2,transportation3,reason1,reason2,reason3,accommodation_1,accommodation_2,accommodation_3,accommodation_4,accommodation_5,accommodation_6,accommodation_7,accommodation_8,accommodation_9,accommodation_10,accommodation_11,accommodation_12,accommodation_13,accommodation_14
0,2020.0,"23310,23310",2,1,3,2.0,0.0,439000.0,219500.0,4.0,1.0,28.0,1.0,1.0,"1,2,6",1,"9,5,14",3,1.0,1.0,,,,1.0,,,,,,,,,,,23310,23310,,,,,,,,,,1,,,9,5,14,3.0,,,,,,,,,,,,,
1,2020.0,31160,1,0,0,4.0,0.0,70002.0,23334.0,4.0,1.0,57.0,2.0,1.0,"1,6",1,"2,4,11",3,1.0,,,,,1.0,,,,,,,,,,,31160,,,,,,,,,,,1,,,2,4,11,,,,,,,,,,,,,,
2,2020.0,31110,1,0,0,3.0,0.0,74500.0,26500.0,4.0,2.0,19.0,2.0,1.0,5,"5,2","12,5,9",3,,,,,1.0,,,,,,,,,,,,31110,,,,,,,,,,,5,2,,12,5,9,,,,,,,,,,,,,,
3,2020.0,"23080,31270",2,"0,0",,2.0,0.0,100000.0,50000.0,4.0,2.0,36.0,2.0,1.0,"1,2,6",1,"9,5,1",3,1.0,1.0,,,,1.0,,,,,,,,,,,23080,31270,,,,,,,,,,1,,,9,5,1,0.0,0.0,,,,,,,,,,,,
4,2020.0,"32400,32390",2,1,11,4.0,0.0,400000.0,100000.0,4.0,1.0,26.0,2.0,1.0,"1,2,6",1,"12,6,5",3,1.0,1.0,,,,1.0,,,,,,,,,,,32400,32390,,,,,,,,,,1,,,12,6,5,11.0,,,,,,,,,,,,,
5,2020.0,"39010,39010,39010,39010",4,2,"4,4",2.0,0.0,794000.0,681500.0,4.0,2.0,27.0,1.0,1.0,"1,2,4,6","3,10","6,1,14",3,1.0,1.0,,1.0,,1.0,,,,,,,,,,,39010,39010,39010,39010,,,,,,,,3,10,,6,1,14,4.0,4.0,,,,,,,,,,,,
6,2020.0,"38360,38360,38360",3,2,"3,3",4.0,0.0,1101000.0,303750.0,5.0,2.0,52.0,1.0,1.0,"1,4,6",1,"2,1,11",1,1.0,,,1.0,,1.0,,,,,,,,,,,38360,38360,38360,,,,,,,,,1,,,2,1,11,3.0,3.0,,,,,,,,,,,,
7,2020.0,31130,1,0,0,3.0,0.0,37000.0,37000.0,5.0,1.0,49.0,3.0,1.0,"1,2","5,6,2","11,5,9",3,1.0,1.0,,,,,,,,,,,,,,,31130,,,,,,,,,,,5,6,2,11,5,9,,,,,,,,,,,,,,
8,2020.0,31370,1,0,0,4.0,0.0,124000.0,86500.0,5.0,1.0,27.0,3.0,1.0,"1,2,6",1,"14,2,4",4,1.0,1.0,,,,1.0,,,,,,,,,,,31370,,,,,,,,,,,1,,,14,2,4,,,,,,,,,,,,,,
9,2020.0,35330,1,1,3,5.0,0.0,272500.0,160500.0,5.0,2.0,50.0,4.0,1.0,"1,2","5,2,10","14,11,1",3,1.0,1.0,,,,,,,,,,,,,,,35330,,,,,,,,,,,5,2,10,14,11,1,3.0,,,,,,,,,,,,,
10,2020.0,31370,1,0,0,3.0,0.0,219000.0,73000.0,5.0,1.0,63.0,4.0,1.0,"1,2",1,"3,5,4",1,1.0,1.0,,,,,,,,,,,,,,,31370,,,,,,,,,,,1,,,3,5,4,,,,,,,,,,,,,,
11,2020.0,"35020,35020,35020",3,2,"10,10",3.0,0.0,544999.0,390333.0,4.0,1.0,27.0,4.0,1.0,"1,2","2,4,10","11,2,8",3,1.0,1.0,,,,,,,,,,,,,,,35020,35020,35020,,,,,,,,,2,4,10,11,2,8,10.0,10.0,,,,,,,,,,,,
12,2020.0,"34050,34050",2,1,3,3.0,0.0,362998.0,193666.0,4.0,1.0,49.0,4.0,1.0,"1,2,4,6",1,"14,9,11",1,1.0,1.0,,1.0,,1.0,,,,,,,,,,,34050,34050,,,,,,,,,,1,,,14,9,11,3.0,,,,,,,,,,,,,
13,2020.0,31370,1,0,0,2.0,0.0,91000.0,91000.0,5.0,1.0,63.0,5.0,1.0,"2,5,11",1,"4,9,14",1,,1.0,,,1.0,,,,,,1.0,,,,,,31370,,,,,,,,,,,1,,,4,9,14,,,,,,,,,,,,,,
14,2020.0,"33380,33380",2,1,3,4.0,0.0,110000.0,110000.0,4.0,2.0,49.0,5.0,1.0,"1,2,6","5,7","3,5,14",3,1.0,1.0,,,,1.0,,,,,,,,,,,33380,33380,,,,,,,,,,5,7,,3,5,14,3.0,,,,,,,,,,,,,
15,2020.0,31130,1,0,0,2.0,0.0,78000.0,60500.0,4.0,1.0,28.0,5.0,1.0,"1,2",1,"14,3,1",3,1.0,1.0,,,,,,,,,,,,,,,31130,,,,,,,,,,,1,,,14,3,1,,,,,,,,,,,,,,
16,2020.0,"31380,31380",2,1,3,5.0,0.0,325000.0,149000.0,5.0,2.0,63.0,5.0,1.0,"1,2,6",1,"5,3,9",3,1.0,1.0,,,,1.0,,,,,,,,,,,31380,31380,,,,,,,,,,1,,,5,3,9,3.0,,,,,,,,,,,,,
