,store,sido-gu,address,phone
0,성남터미널점,경기 성남시 분당구,"경기도 성남시 분당구 성남대로925번길 16, 성남종합버스터미널 1층",031-725-1004
1,부산백양대로점,부산 사상구,괘법동 141,051-311-5399
2,왕십리역점,서울 성동구,"성동구 왕십리광장로 17 (행당동 168-151 ), 비트플렉스몰 3층",02-2200-1303
3,홍대출판사거리점,서울 마포구,"서울시 마포구 독막로7길 40, 1층",02-332-3567
4,간석오거리점,인천 남동구,,032-425-0915
5,위례중앙점,경기 성남시 수정구,,031-755-5064
6,수유사거리점,서울 강북구,서울시 강북구 도봉로 82길 11 (2~4층),070-5226-1999
7,하남덕풍점,경기 하남시,덕풍북로 2,031-792-9389
8,전경련회관점,서울 영등포구,서울시 영등포구 여의도동 28-1 전경련신축회관 B109-11,02-786-3485
9,대전만년점,대전 서구,"대전 서구 둔산대로117번길 95(만년동, 리더스타운)",
10,대전탄방점,대전 서구,대전 서구 계룡로571번길 23-19,042-482-8425
11,신월사거리점,서울 양천구,"가로공원로 113, 1층",02-2606-5040
12,양산부산대병원치과동점,경남 양산시,물금읍 금오로 20 양산부산대학교병원 치과병동 1층,070-4442-0608
13,양산부산대병원본점,경남 양산시,"물금읍 금오로 20, 양산부산대학교병원 중앙진료동 1층",055-362-4582
14,대전역점,대전 동구,"대전 동구 중앙로 215, 3층 대합실",
15,화성융건릉점,경기 화성시,경기도 화성시 효행로 501-3,031-224-6999
16,커피클럽 선릉역점,서울 강남구,서울특별시 강남구 테헤란로 325 1층,02-6196-7935
17,(하)선산휴게소점,경북 구미시,경상북도 구미시 옥성면 중부내륙고속도로 128,
18,진해속천점,경남 창원시 진해구,경남 창원시 진해구 태평로 132,055-547-9777
19,천안신부점,충남 천안시 동남구,"충남 천안시 동남구 만남로 26 대영빌딩 4,5층",041-566-5085
20,양주옥정점,경기 양주시,경기도 양주시 옥정동 963-6,
21,서초마제스타시티점,서울 서초구,"서초대로38길 12, 1층",02-6411-0063
22,부산명륜역점,부산 동래구,"부산광역시 동래구 온천장로5, 1층",051-557-7811
23,대전은행본점,대전 중구,대전 중구 대흥동 153-1,042-222-3288
24,구리수택점,경기 구리시,"경기도 구리시 검배로 73, 할리스커피",031-551-0988
25,진주평거점,경남 진주시,경상남도 진주시 진양호로 46,055-745-9633
26,할리스커피 울산시청점,울산 남구,"삼산로 60, 1층(신정동)",070-7733-7108
27,부산대학교병원1호점,부산 서구,"부산광역시 서구 구덕로 179, 융합동 ",051-231-9647
28,종로5가점,서울 종로구,동호로 401,02-2266-1989
29,서전주DT점,전북 전주시 완산구,전북 전주시 완산구 콩쥐팥쥐로 1713,063-901-0802
30,아주대병원점,경기 수원시 영통구,"경기도 수원시 영통구 월드컵로 164, 아주대학교병원 본관 1층",031-211-5718
31,부산대학교병원2호점,부산 서구,부산광역시 서구 구덕로 179  C동,051-231-9476
32,난곡사거리점,서울 관악구,서울시 관악구 신림동 526-13,02-865-0012
33,부산덕천점,부산 북구,"부산 북구 덕천 1길 21, 1층",051-342-8835
34,다산지금점,경기 남양주시,경기도 남양주시 다산중앙로 82번안길 143-15,070-7778-2409
35,종로DGB점,서울 중구,서울시 중구 다동85 다동빌딩 1층,02-310-9315
36,부평로데오점,인천 부평구,인천광역시 부평구 부평동 193-19 인일메트로 빌딩 1~3층 ,032-505-7130
37,인덕원점,경기 안양시 동안구,"경기도 안양시 동안구 관악대로 480, 101호",031-426-1800
38,대구반야월점,대구 동구,안심로255,053-961-7007
39,용인명지대점,경기 용인시 처인구,경기도 용인시 처인구 명지로116번길 24-2,031-335-9095
40,여의도파이낸스타워점,서울 영등포구,서울특별시 영등포구 국제금융로 2길 32,02-761-3154
41,전북김제점,전북 김제시,전라북도 김제시 검산택지5길 21-10 1층,063-547-9600
42,상남중앙점,경남 창원시 성산구,상남동 25,055-261-5925
43,커피클럽 센터포인트점,서울 종로구,종로구 새문안로5길 31 센터포인트 광화문빌딩 1F,02-6031-6213
44,서울대병원점,서울 종로구,종로구 대학로 101 서울대학교병원 본관 1F,02-741-5815
45,구로디지털 뉴스테이점,서울 영등포구,"시흥대로 595, 105호",070-7547-4100
46,부산명륜자이점,부산 동래구, 부산광역시 동래구 동래로 77,051-554-1001
47,충남도청점,충남 홍성군,충청남도 홍성군 홍북읍 신경리 553,041-631-4725
48,홍대입구역점,서울 마포구,서울시 마포구 양화로 151 1층,02-322-3584
49,전남장흥점,전남 장흥군,전라남도 장흥군 장흥읍 북부로 18,061-862-0119
50,낙산해수욕장점,강원 양양군,강원도 양양군 강현면 해맞이길18 1층 할리스커피,033-672-7271
51,군산선유도점,전북 군산시,"전라북도 군산시 옥도면  선유도리 213-4, 6",063-464-9315
52,전주남천교점,전북 전주시 완산구,전주천서로81 ,
53,대구침산점,대구 북구,대구광역시 북구 성북로 36,053-353-5412
54,용산리첸시아점,서울 용산구,"서울시 용산구 백범로341, 용산리첸시아 118호,119호",02-6012-6596
55,울산옥동대공원점,울산 남구,문수로 377 (옥동),070-7733-9102
56,커피클럽 역삼테헤란점,서울 강남구,서울 강남구 테헤란로 131 한국지식센터 1층 ,02-501-3573
57,신사역사거리점,서울 강남구,"서울특별시 강남구 강남대로 600 동신빌딩 1,2층",02-511-5340
58,충남대점,대전 유성구,대전광역시 유성구 대학로 84 (궁동 486-2),
59,응암역점,서울 은평구,증산로 475 2층,02-3152-2910
60,대구안심점,대구 동구,대구시 동구 안심로90길 29,053)552-2220
61,여수소호점,전남 여수시,전남 여수시 소호로 455-1,061-684-8254
62,화성병점점,경기 화성시,경기 화성시 병점동로 105,031-239-0455
63,동탄카림애비뉴점,경기 화성시,경기 화성시 동탄대로시범길 134,031-372-1650
64,김포운양점,경기 김포시,김포한강11로255번길 15,031-986-2260
65,창원팔용점,경남 창원시 의창구,"경상남도 창원시 창원대로18번길 6-8 1,2,3층",055-298-3434
66,부안격포채석강점,전북 부안군,전라북도 부안군 변산면 격포리 282(채석강길 22-10),063-584-0011
67,전남대상대점,광주 북구,광주광역시 북구 설죽로202번길 68,062-511-0389
68,(하)매송휴게소점,경기 화성시,경기도 화성시 매송면 서해안고속도로 315 목포방향,
69,(상)매송휴게소점,경기 화성시,경기도 화성시 매송면 서해안고속도로 316 서울방향,
70,용산아이파크몰 영풍문고점,서울 용산구,한강대로 23길 55 용산아이파크몰 리빙관 3층 영풍문고 내,070-8835-5073
71,오산대역DT점,경기 오산시,"경기도 오산시 경기대로 491, 1~3층",031-372-9750
72,춘천명동점,강원 춘천시,강원도 춘천시 금강로 61 (조양동),033-251-3789
73,인천주안역점,인천 남구,인천 남구 주안로 105,032-425-1793
74,BMC점,경기 고양시 일산동구,동국로 32(식사동) 동국대학교 바이오메디융합 캠퍼스 내 산학협력관 1층,031-961-5692
75,구미금오산점,경북 구미시,경북 구미시 금오산로 209 ,054-441-4452
76,을지로입구점,서울 중구,서울시 중구 을지로2가 199-44,02-318-6381
77,울산삼산대로점,울산 남구,울산시 남구 삼산동 1559-15,052-293-2234
78,백석예술대학교점,서울 서초구,방배동 981-17,
79,양재역1호점,서울 서초구,서울시 서초구 양재동 13-11,02-578-6630
80,제주협재해수욕장점,제주 제주시,한림읍 한림로 330,064-796-1780
81,구리장자호수공원점,경기 구리시,"경기도 구리시 장자대로 86번길 18(수택동, 1~2층)",031-568-7232
82,(하)오창휴게소,충북 청주시 청원구,충청북도 청주시 청원구 오창읍 중부고속도로 21 ,043-217-1477 
83,부산교대점,부산 동래구,부산광역시 동래구 수안동 55-1,051-558-5886
84,이대점,서울 서대문구,"서울시 서대문구 이화여대길 59, 엘큐브 3층",02-392-1008
85,파주야당역점,경기 파주시,경의로 1042(야당동) 더진빌딩 1층,031-946-4823
86,목동예술인회관점,서울 양천구,"목동서로 225(목동, 예술인회관) 1층",02-2655-1300
87,(하)괴산휴게소점,충북 괴산군,충청북도 괴산군 장연면 중부내륙고속도로 205 괴산(마산방향)휴게소 ,043-832-7966
88,부산광안해변점,부산 수영구,부산광역시 수영구 민락동 178-5,051-752-4551
89,당고개역점,서울 노원구,덕릉로 126길 11 (상계동) 1층,02-951-1029
90,커피클럽 역삼스타점,서울 강남구,서울시 강남구 역삼동 736-56 1층 ,02-501-4142
91,(하)보성녹차휴게소점,전남 보성군,전남 보성군 겸백면 수남리 385-3,070-4325-8808
92,(상)보성녹차휴게소점,전남 보성군,전남 보성군 미력면 화방리 산196-7,070-4325-8801
93,부산정관CGV점,부산 기장군,정관읍 매학리 717-5,051-710-3532
