CRI_YM,TAG,평일휴일,요일,시간대,성별,연령대, 건수합계 ,,,
201905,1,평일,목,B.06-10시,F,A.2O대, 291 ,,,
202005,1,평일,월,D.14-18시,M,C.4O대," 6,225 ",,,
201905,1,휴일,일,F.22-02시,M,B.3O대, 51 ,,"1, 1, 1, 1",1
202105,2,휴일,일,D.14-18시,F,C.4O대," 3,564 ",,02월 02일,2
202005,1,평일,월,C.10-14시,F,D.5O대," 1,101 ",,3,3
201905,4,평일,월,B.06-10시,M,E.60대이상, 171 ,,4,4
202005,1,휴일,일,A.02-06시,M,C.4O대, 128 ,,,
201905,1,평일,목,B.06-10시,F,B.3O대, 758 ,,,
201905,1,평일,화,C.10-14시,M,D.5O대, 122 ,,,
202105,1,휴일,토,C.10-14시,M,A.2O대, 152 ,,,
201905,1,휴일,월,D.14-18시,F,E.60대이상, 10 ,,,
202005,1,휴일,토,C.10-14시,F,E.60대이상, 68 ,,,
202105,1,휴일,토,D.14-18시,F,B.3O대," 2,125 ",,,
202105,3,평일,화,D.14-18시,M,B.3O대, 326 ,,,
202005,1,휴일,화,D.14-18시,M,B.3O대, 224 ,,,
202005,2,평일,월,C.10-14시,F,B.3O대," 5,591 ",,,
202105,1,휴일,수,D.14-18시,M,C.4O대, 303 ,,,
202105,1,평일,월,D.14-18시,M,D.5O대, 926 ,,,
201905,1,평일,월,B.06-10시,F,E.60대이상, 247 ,,,
201905,1,평일,화,E.18-22시,F,D.5O대, 112 ,,,
202105,1,평일,금,E.18-22시,F,E.60대이상, 55 ,,,
202105,2,평일,금,A.02-06시,M,C.4O대, 670 ,,,
202005,2,평일,금,B.06-10시,F,A.2O대," 2,510 ",,,
202105,1,평일,수,D.14-18시,M,B.3O대," 1,552 ",,,
202005,1,휴일,금,F.22-02시,F,D.5O대, 438 ,,,
202105,1,휴일,수,A.02-06시,M,A.2O대, 11 ,,,
202105,1,평일,화,B.06-10시,F,D.5O대," 1,042 ",,,
201905,4,휴일,수,F.22-02시,M,E.60대이상, 42 ,,,
201905,1,평일,금,F.22-02시,M,A.2O대, 105 ,,,
201905,4,휴일,토,D.14-18시,M,B.3O대," 1,647 ",,,
202005,1,휴일,금,C.10-14시,M,A.2O대, 33 ,,,
202105,1,휴일,일,A.02-06시,F,D.5O대, 63 ,,,
202105,1,평일,금,D.14-18시,F,D.5O대, 240 ,,,
202105,1,평일,화,F.22-02시,M,A.2O대, 235 ,,,
202005,2,휴일,일,B.06-10시,F,A.2O대, 123 ,,,
202105,4,평일,목,D.14-18시,M,B.3O대," 4,684 ",,,
202005,1,평일,수,A.02-06시,M,A.2O대, 50 ,,,
202005,1,휴일,토,D.14-18시,M,B.3O대," 1,379 ",,,
202105,1,휴일,토,F.22-02시,F,E.60대이상, 39 ,,,
201905,1,평일,월,F.22-02시,M,E.60대이상, 37 ,,,
201905,1,휴일,일,D.14-18시,M,D.5O대, 950 ,,,
202105,1,휴일,수,F.22-02시,F,E.60대이상, 44 ,,,
202105,1,평일,수,A.02-06시,F,C.4O대, 79 ,,,
202005,1,휴일,토,F.22-02시,M,A.2O대, 137 ,,,
201905,2,평일,목,C.10-14시,F,B.3O대, 816 ,,,
202005,1,휴일,일,D.14-18시,F,D.5O대," 1,170 ",,,
202005,1,평일,금,F.22-02시,M,E.60대이상, 53 ,,,
202005,1,휴일,화,C.10-14시,M,E.60대이상, 4 ,,,
202105,1,휴일,수,B.06-10시,M,B.3O대, 137 ,,,
201905,1,평일,목,D.14-18시,F,E.60대이상," 1,574 ",,,
201905,1,평일,목,B.06-10시,M,C.4O대, 112 ,,,
202105,2,휴일,토,B.06-10시,M,D.5O대, 411 ,,,
202005,1,평일,금,A.02-06시,M,C.4O대, 95 ,,,
202105,1,평일,수,E.18-22시,M,C.4O대, 120 ,,,
201905,1,평일,월,F.22-02시,F,D.5O대, 62 ,,,
202105,4,휴일,일,D.14-18시,M,D.5O대," 2,946 ",,,
201905,1,휴일,수,A.02-06시,F,C.4O대, 114 ,,,
201905,1,휴일,수,E.18-22시,M,B.3O대, 331 ,,,
201905,1,휴일,토,A.02-06시,M,A.2O대, 32 ,,,
201905,1,평일,목,D.14-18시,M,D.5O대," 2,068 ",,,
201905,1,평일,수,C.10-14시,F,E.60대이상, 21 ,,,
202105,1,평일,목,C.10-14시,F,C.4O대, 280 ,,,
201905,1,평일,월,C.10-14시,F,E.60대이상, 25 ,,,
201905,2,평일,목,B.06-10시,M,E.60대이상, 22 ,,,
201905,2,휴일,월,C.10-14시,M,B.3O대," 1,005 ",,,
202005,1,휴일,일,E.18-22시,F,C.4O대, 367 ,,,
201905,1,휴일,토,E.18-22시,F,A.2O대, 8 ,,,
202005,1,평일,월,E.18-22시,M,A.2O대, 217 ,,,
202005,4,휴일,토,B.06-10시,M,A.2O대, 288 ,,,
202005,2,휴일,토,F.22-02시,M,C.4O대, 924 ,,,
201905,1,휴일,일,F.22-02시,M,C.4O대, 674 ,,,
202105,1,평일,화,E.18-22시,F,B.3O대," 1,459 ",,,
202105,1,평일,금,D.14-18시,M,B.3O대, 685 ,,,
202005,4,휴일,토,F.22-02시,F,D.5O대," 1,965 ",,,
201905,1,평일,금,D.14-18시,F,C.4O대," 2,224 ",,,
201905,3,평일,금,A.02-06시,F,A.2O대, 65 ,,,
201905,1,휴일,일,F.22-02시,F,B.3O대, 24 ,,,
