,CRI_YM,TAG,평일휴일,요일,시간대,성별,연령대, 건수합계 ,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,201905,0,0,1,1,0,0,291,,,
1,202005,0,0,3,3,1,2,6225,,,
2,201905,0,1,4,5,1,1,51,,"1, 1, 1, 1",1.0
3,202105,1,1,4,3,0,2,3564,,02월 02일,2.0
4,202005,0,0,3,2,0,3,1101,,3,3.0
5,201905,3,0,3,1,1,4,171,,4,4.0
6,202005,0,1,4,0,1,2,128,,,
7,201905,0,0,1,1,0,1,758,,,
8,201905,0,0,6,2,1,3,122,,,
9,202105,0,1,5,2,1,0,152,,,
10,201905,0,1,3,3,0,4,10,,,
11,202005,0,1,5,2,0,4,68,,,
12,202105,0,1,5,3,0,1,2125,,,
13,202105,2,0,6,3,1,1,326,,,
14,202005,0,1,6,3,1,1,224,,,
15,202005,1,0,3,2,0,1,5591,,,
16,202105,0,1,2,3,1,2,303,,,
17,202105,0,0,3,3,1,3,926,,,
18,201905,0,0,3,1,0,4,247,,,
19,201905,0,0,6,4,0,3,112,,,
20,202105,0,0,0,4,0,4,55,,,
21,202105,1,0,0,0,1,2,670,,,
22,202005,1,0,0,1,0,0,2510,,,
23,202105,0,0,2,3,1,1,1552,,,
24,202005,0,1,0,5,0,3,438,,,
25,202105,0,1,2,0,1,0,11,,,
26,202105,0,0,6,1,0,3,1042,,,
27,201905,3,1,2,5,1,4,42,,,
28,201905,0,0,0,5,1,0,105,,,
29,201905,3,1,5,3,1,1,1647,,,
30,202005,0,1,0,2,1,0,33,,,
31,202105,0,1,4,0,0,3,63,,,
32,202105,0,0,0,3,0,3,240,,,
33,202105,0,0,6,5,1,0,235,,,
34,202005,1,1,4,1,0,0,123,,,
35,202105,3,0,1,3,1,1,4684,,,
36,202005,0,0,2,0,1,0,50,,,
37,202005,0,1,5,3,1,1,1379,,,
38,202105,0,1,5,5,0,4,39,,,
39,201905,0,0,3,5,1,4,37,,,
40,201905,0,1,4,3,1,3,950,,,
41,202105,0,1,2,5,0,4,44,,,
42,202105,0,0,2,0,0,2,79,,,
43,202005,0,1,5,5,1,0,137,,,
44,201905,1,0,1,2,0,1,816,,,
45,202005,0,1,4,3,0,3,1170,,,
46,202005,0,0,0,5,1,4,53,,,
47,202005,0,1,6,2,1,4,4,,,
48,202105,0,1,2,1,1,1,137,,,
49,201905,0,0,1,3,0,4,1574,,,
50,201905,0,0,1,1,1,2,112,,,
51,202105,1,1,5,1,1,3,411,,,
52,202005,0,0,0,0,1,2,95,,,
53,202105,0,0,2,4,1,2,120,,,
54,201905,0,0,3,5,0,3,62,,,
55,202105,3,1,4,3,1,3,2946,,,
56,201905,0,1,2,0,0,2,114,,,
57,201905,0,1,2,4,1,1,331,,,
58,201905,0,1,5,0,1,0,32,,,
59,201905,0,0,1,3,1,3,2068,,,
60,201905,0,0,2,2,0,4,21,,,
61,202105,0,0,1,2,0,2,280,,,
62,201905,0,0,3,2,0,4,25,,,
63,201905,1,0,1,1,1,4,22,,,
