"연번","병원 명","설립형태","근거 법령","관계 행정기관","관계 공공단체","심평원 요양기관번호","종별구분","병상수","소재지 우편번호","주소","홈페이지","대표전화","FAX","비고"
"1","강원도 재활병원","시도립","강원도재활병원설치및운영에관한조례","강원도","해당없음","32200641","병원","165","24227","강원도 춘천시 충열로 142번길 24-16","www.grh.or.kr","033-248-7700","033-248-7723",""
"2","강원도 삼척의료원","특수법인","지방의료원의 설립 및 운영에 관한 법률","보건복지부(강원도)","지방의료원","32100060","종합병원","152","25920","강원도 삼척시 오십천로 418","http://ksmc.or.kr","033-572-1141","033-573-8424",""
"3","강원도 영월의료원","특수법인","지방의료원의 설립 및 운영에 관한 법률","보건복지부(강원도)","지방의료원","32100078","종합병원","214","26234","강원도 영월군 영월읍 중앙1로 59","http://www.youngwol.org","033-370-9117","033-370-9137",""
"4","강원도 원주의료원","특수법인","지방의료원의 설립 및 운영에 관한 법률","보건복지부(강원도)","지방의료원","32100086","종합병원","237","26448","강원도 원주시 서원대로 387(개운동)","www.kwmc.or.kr","033-760-4500","033-761-5121",""
"5","강원도 강릉의료원","특수법인","지방의료원의 설립 및 운영에 관한 법률","보건복지부(강원도)","지방의료원","32100159","종합병원","137","25535","강원도 강릉시 경강로 2007(남문동 164-1)","http://www.gnmc.or.kr","033-646-6910","033-610-1415",""
"6","강원도 속초의료원","특수법인","지방의료원의 설립 및 운영에 관한 법률","보건복지부(강원도)","지방의료원","32100141","종합병원","190","24821","강원도 속초시 영랑호반길 3","http://www.sokchomc.co.kr","033-630-6000","033-630-6004",""
"7","춘천시 노인전문병원","시군구립","노인복지법 춘천시노인전문병원설치및 운영에관한조례","강원도","해당없음","32280271","요양병원","166","24216","강원도 춘천시 세실로 252","http://ccsilverhospital.co.kr","033-240-7500","033-240-7591",""
"8","강원도립강릉요양병원","시도립","강원도립강릉요양병원 설치 및 운영 조례","강원도","해당없음","32280424","요양병원","124","25535","강원도 강릉시 경강로 2007","http://www.gnmch.or.kr","033-640-8800","033-640-8825",""
"9","정선군립병원","시군구립","군립의료기관 설립 및 운영에관한조례","강원도","해당없음","32201184","병원","61","26150","강원도 정선군 사북읍 지장천로 727","없음","033-592-3121","033-592-3125",""
"10","경기도의료원 수원병원","특수법인","지방의료원의 설립 및 운영에 관한 법률","보건복지부(경기도)","지방의료원","31100988","종합병원","143","16316","경기도 수원시 장안구 수성로 245번길 69","http://www.medical.or.kr/_sw_gpmc/","031-888-0114","031-244-0242",""
"11","경기도의료원 이천병원","특수법인","지방의료원의 설립 및 운영에 관한 법률","보건복지부(경기도)","지방의료원","31101151","종합병원","115","17366","경기도 이천시 경충대로 2742","http://www.medical.or.kr/_ic_gpmc/","031-639-4800","031-636-7500",""
"12","경기도의료원 안성병원","특수법인","지방의료원의 설립 및 운영에 관한 법률","보건복지부(경기도)","지방의료원","31100341","종합병원","151","17572","경기도 안성시 고수2로 17번지(당왕동)","http://www.medical.or.kr/_as_gpmc/","031-8046-5000","031-8046-5555",""
