title,brand,price,percent
SAVAGE [미니 1집] [SYNK DIVE VER],AESPA(에스파),16300,19%
ODDINARY [MINI ALBUM] [SCANNING/ MASK OFF VER] [일반반],STRAY KIDS(스트레이 키즈),16300,19%
2021 WINTER SMTOWN: SMCU EXPRESS [RED VELVET],RED VELVET(레드벨벳),13400,19%
2021 WINTER SMTOWN: SMCU EXPRESS [NCT - DAYTIME PASS],NCT(엔시티),13400,19%
2021 WINTER SMTOWN: SMCU EXPRESS [NCT - NIGHTTIME PASS],NCT(엔시티),13400,19%
2021 WINTER SMTOWN: SMCU EXPRESS [SMTOWN VER],VARIOUS,31200,19%
2021 WINTER SMTOWN: SMCU EXPRESS [AESPA],AESPA(에스파),13400,19%
YOUNG-LUV.COM [미니 2집] [2종 중 랜덤 1종],STAYC(스테이씨),19300,20%
AN ODE [정규 3집],SEVENTEEN(세븐틴),17100,19%
SMILEY [미니 1집],YENA(최예나),16300,19%
GLITCH MODE [정규 2집] [PHOTOBOOK VER],NCT DREAM(엔시티 드림),17800,19%
HELLO FUTURE [정규 1집] [리패키지] [PHOTO BOOK VER],NCT DREAM(엔시티 드림),17800,19%
혼돈의 장: FIGHT OR ESCAPE [TOGETHER VER],TXT(투모로우바이투게더),11000,19%
YOUNG-LUV.COM [미니 2집] [JEWEL CASE VER] [6종 중 랜덤 1종],STAYC(스테이씨),11900,18%
헹가래(HENG:GARAE) [미니 7집],SEVENTEEN(세븐틴),14900,17%
혼돈의 장: FIGHT OR ESCAPE,TXT(투모로우바이투게더),17800,19%
SAVAGE [미니 1집] [HALLUCINATION QUEST VER],AESPA(에스파),17800,19%
REAL LOVE [정규 2집] [2종 세트],OH MY GIRL(오마이걸),38600,20%
ATTACCA [미니 9집] [CARAT VER],SEVENTEEN(세븐틴),8900,19%
FATAL LOVE [정규 3집],MONSTA X(몬스타엑스),19300,20%
