,title,content,field,date,addr,company
0,[속보] '신종코로나' 확진환자 1명 추가…12명으로 늘어,[헤럴드경제] '신종코로나' 확진환자 1명 추가됐다. 이로써 국내 확진환자는 총 12명이 됐다.   onlinenews,사회>의료_건강,2020-02-01,http://biz.heraldcorp.com/view.php?ud=20200201000027,헤럴드경제
1,[속보] 신종코로나 국내 12명 확진·70명 검사 중…접촉자 465명 감시,[속보] 신종코로나 국내 12명 확진·70명 검사 중…접촉자 465명 감시 [디지털뉴스국 이상규 기자],사회>의료_건강,2020-02-01,http://news.mk.co.kr/newsRead.php?no=104142&year=2020,매일경제
2,[속보] 신종 코로나 확진자 12명…70명 검사 중,[그래픽=연합뉴스]  신종 코로나바이러스 확진자가 1일 오후 2시 현재 총 12명으로 확인됐다. 현재 검사 중인 사람은 총 70명이다. 황재희 기자 jhhwang,사회>의료_건강,2020-02-01,http://www.ajunews.com/view/20200201134957462,아주경제
3,[속보] '신종코로나' 확진환자 1명 추가돼 국내 총 12명…하루 새 6명 늘어,[속보] '신종코로나' 확진환자…1명 추가 국내 총 12명   이미경 한경닷컴 기자 capital 기사제보 및 보도자료 open,사회>의료_건강,2020-02-01,https://www.hankyung.com/society/article/2020020121817,한국경제
4,[속보] '신종코로나' 확진환자 1명 추가…국내 총 12명,'신종코로나' 확진환자 1명 추가…국내 총 12명,사회>의료_건강,2020-02-01,https://news.imaeil.com/Society/2020020109431879372,매일신문
5,[속보] 신종코로나 국내 12명 확진·70명은 검사 중…접촉자 465명 감시,[헤럴드경제] 신종코로나 국내 12명 확진·70명은 검사 중…접촉자 465명 감시,사회>의료_건강,2020-02-01,http://biz.heraldcorp.com/view.php?ud=20200201000068,헤럴드경제
6,[속보] `신종코로나` 확진환자 1명 추가…국내 총 12명,[속보] '신종코로나' 확진환자 1명 추가…국내 총 12명 [디지털뉴스국 이상규 기자],사회>의료_건강,2020-02-01,http://news.mk.co.kr/newsRead.php?no=103663&year=2020,매일경제
7,2차·3차 감염에도 '슈퍼 전파자'는 없다?,◀ 앵커 ..▶ .. ..국내에서 2차 감염에 이어 3차 감염자까지 나오면서 확진자 중에 슈퍼 전파자가 나올 수도 있다는 우려가 커지고 있습니다... .. .. ..전문가들은 모든 가능성을 열어두고 대비해야 한다고 입을 모으고 있습니다... .. .. ..전동혁 기자가 취재했습니다. .. ..◀ 리포트 ..▶ .. ..지난 2015년 발생한 중동호흡기증..,사회>의료_건강,2020-02-01,https://imnews.imbc.com/replay/2020/nwtoday/article/5656267_32531.html,MBC
8,[속보] '신종 코로나' 환자 1명 추가…모두 12명,[아시아경제 조현의 기자]  조현의 기자 honey,사회>의료_건강,2020-02-01,http:www.asiae.co.kr/article/2020020109535883286,아시아경제
9,[속보] '신종 코로나바이러스 감염증’ 확진환자 3명 추가…국내 총 15명,'신종 코로나바이러스 감염증’ 확진환자 3명 추가…국내 총 15명,사회>의료_건강,2020-02-02,,한국일보
10,[속보] '신종코로나' 확진환자 3명 추가…국내 총 15명,'신종코로나' 확진환자 3명 추가…국내 총 15명,사회>의료_건강,2020-02-02,https://news.imaeil.com/Society/2020020209591605175,매일신문
11,질본 “국내 신종코로나 환자 접촉자 총 913명…모니터링 중 (속보),질본 “국내 신종코로나 환자 접촉자 총 913명…모니터링 중”,사회>의료_건강,2020-02-03,http://www.sedaily.com/NewsView/1YYS34Z0O3,서울경제
12,[속보] 신종 코로나 추가 확진환자 없어…총 15명,[아시아경제 조현의 기자]  조현의 기자 honey,사회>의료_건강,2020-02-03,http:www.asiae.co.kr/article/2020020314022654591,아시아경제
13,"[속보] 신종 코로나 2번 환자 유전자증폭검사 음성, 증상 완쾌...퇴원 검토 중","[속보] 2번 환자 유전자증폭검사, 증상 모두 완쾌...퇴원 검토",사회>의료_건강,2020-02-03,http://www.sedaily.com/NewsView/1YYS2DNUZ9,서울경제
14,[속보] '신종 코로나' 환자 접촉자 총 913명,[아시아경제 조현의 기자]  조현의 기자 honey,사회>의료_건강,2020-02-03,http:www.asiae.co.kr/article/2020020314113030951,아시아경제
15,[속보]신종 코로나 1번 환자 접촉자 45명 이날 0시 감시 해제,[속보]신종 코로나 1번 환자 접촉자 45명 이날 0시 감시 해제  문혜원 기자 hmoon3,사회>의료_건강,2020-02-03,http:www.asiae.co.kr/article/2020020316544660519,아시아경제
16,[속보]신종 코로나 1명 추가 확진…총 16명 환자 발생,김영선 기자 ys8584,사회>의료_건강,2020-02-04,http://news.kmib.co.kr/article/view.asp?arcid=0014198768&code=61121111&cp=kd,국민일보
17,[속보] 신종 코로나 기존 환자 15명 상태 안정적,[속보] 신종 코로나 기존 환자 15명 상태 안정적,사회>의료_건강,2020-02-04,https://news.joins.com/article/olink/23291997,중앙일보
18,[속보] `신종코로나` 16번째 확진환자 발생,[디지털뉴스국 류영상 기자],사회>의료_건강,2020-02-04,http://news.mk.co.kr/newsRead.php?no=112550&year=2020,매일경제
