,구별,소계,2013년도 이전,2014년,2015년,2016년,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율
0,강남구,2780,1292,430,584,932,150.61919504643964,570500.0,565550.0,4950.0,63167.0,0.8676599474145487,11.07221735319895
1,강동구,773,379,99,155,377,166.49076517150397,453233.0,449019.0,4214.0,54622.0,0.9297646023127177,12.051637899270354
2,강북구,748,369,120,138,204,125.20325203252031,330192.0,326686.0,3506.0,54813.0,1.0618064641178466,16.600341619421428
3,강서구,884,388,258,184,81,134.7938144329897,603772.0,597248.0,6524.0,72548.0,1.080540336418383,12.015794041459358
4,관악구,1496,846,260,390,613,149.29078014184398,525515.0,507203.0,18312.0,68082.0,3.4845817911953034,12.955291475980705
5,광진구,707,573,78,53,174,53.22862129144852,372164.0,357211.0,14953.0,42214.0,4.017852344665255,11.34284885158156
6,구로구,1561,1142,173,246,323,64.97373029772329,447874.0,416487.0,31387.0,56833.0,7.007997785091343,12.68950642368166
7,금천구,1015,674,51,269,354,100.0,255082.0,236353.0,18729.0,32970.0,7.342344814608635,12.925255408064857
8,노원구,1265,542,57,451,516,188.929889298893,569384.0,565565.0,3819.0,71941.0,0.6707248535259157,12.634882609978504
9,도봉구,485,238,159,42,386,246.6386554621849,348646.0,346629.0,2017.0,51312.0,0.5785237748317777,14.717507156255916
10,동대문구,1294,1070,23,198,579,74.76635514018692,369496.0,354079.0,15417.0,54173.0,4.172440297053283,14.661322450040053
11,동작구,1091,544,341,103,314,139.33823529411765,412520.0,400456.0,12064.0,56013.0,2.9244642683991082,13.578250751478716
12,마포구,574,314,118,169,379,212.1019108280255,389649.0,378566.0,11083.0,48765.0,2.844354791106868,12.515109752623516
13,서대문구,962,844,50,68,292,48.5781990521327,327163.0,314982.0,12181.0,48161.0,3.7232205353294843,14.720796667104777
14,서초구,1930,1406,157,336,398,63.37126600284495,450310.0,445994.0,4316.0,51733.0,0.9584508449734627,11.488308054451378
15,성동구,1062,730,91,241,265,81.78082191780823,311244.0,303380.0,7864.0,39997.0,2.5266350515993885,12.850689491203044
16,성북구,1464,1009,78,360,204,63.62735381565907,461260.0,449773.0,11487.0,64692.0,2.4903525126826516,14.025061787278325
17,송파구,618,529,21,68,463,104.34782608695652,667483.0,660584.0,6899.0,72506.0,1.0335843759316716,10.862598747833278
18,양천구,2034,1843,142,30,467,34.67173087357569,479978.0,475949.0,4029.0,52975.0,0.8394134731175179,11.036964194192233
19,영등포구,904,495,214,195,373,157.97979797979798,402985.0,368072.0,34913.0,52413.0,8.663597900666279,13.006191297442832
20,용산구,1624,1368,218,112,398,53.216374269005854,244203.0,229456.0,14747.0,36231.0,6.038828351822049,14.836427070920505
21,은평구,1873,1138,224,278,468,85.23725834797891,494388.0,489943.0,4445.0,72334.0,0.899091401894868,14.631018552230232
22,종로구,1002,464,314,211,630,248.92241379310346,162820.0,153589.0,9231.0,25425.0,5.669450927404496,15.61540351308193
23,중구,671,413,190,72,348,147.6997578692494,133240.0,124312.0,8928.0,20764.0,6.700690483338337,15.583908736115282
24,중랑구,660,509,121,177,109,79.96070726915521,414503.0,409882.0,4621.0,56774.0,1.114829084469835,13.696885185390698
