,구별,소계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,살인 발생,강도 발생,강간 발생,절도 발생,폭력 발생
0,강남구,2780,150.61919504643964,570500.0,565550.0,4950.0,63167.0,0.8676599474145487,11.07221735319895,3,15,300,2411,2465
1,강남구,2780,150.61919504643964,570500.0,565550.0,4950.0,63167.0,0.8676599474145487,11.07221735319895,10,6,149,1439,1819
2,강동구,773,166.49076517150397,453233.0,449019.0,4214.0,54622.0,0.9297646023127176,12.051637899270354,4,6,156,2366,2712
3,강북구,748,125.20325203252033,330192.0,326686.0,3506.0,54813.0,1.0618064641178466,16.600341619421428,7,14,153,1434,2649
4,강서구,884,134.7938144329897,603772.0,597248.0,6524.0,72548.0,1.080540336418383,12.015794041459358,7,13,262,2096,3207
5,관악구,1496,149.29078014184398,525515.0,507203.0,18312.0,68082.0,3.4845817911953034,12.955291475980705,9,12,320,2706,3298
6,광진구,707,53.22862129144852,372164.0,357211.0,14953.0,42214.0,4.017852344665255,11.34284885158156,4,14,240,3026,2625
7,구로구,1561,64.97373029772329,447874.0,416487.0,31387.0,56833.0,7.007997785091343,12.68950642368166,8,15,281,2335,3007
8,금천구,1015,100.0,255082.0,236353.0,18729.0,32970.0,7.342344814608635,12.925255408064857,3,6,151,1567,2054
9,노원구,1265,188.929889298893,569384.0,565565.0,3819.0,71941.0,0.6707248535259157,12.634882609978504,10,7,197,2193,2723
10,도봉구,485,246.6386554621849,348646.0,346629.0,2017.0,51312.0,0.5785237748317777,14.717507156255916,3,9,102,1063,1487
11,동대문구,1294,74.76635514018692,369496.0,354079.0,15417.0,54173.0,4.172440297053283,14.661322450040052,5,13,173,1981,2548
12,동작구,1091,139.33823529411765,412520.0,400456.0,12064.0,56013.0,2.924464268399108,13.578250751478716,5,9,285,1865,1910
13,마포구,574,212.1019108280255,389649.0,378566.0,11083.0,48765.0,2.844354791106868,12.515109752623516,8,14,294,2555,2983
14,서대문구,962,48.5781990521327,327163.0,314982.0,12181.0,48161.0,3.723220535329484,14.720796667104777,2,5,154,1812,2056
15,서초구,1930,63.37126600284495,450310.0,445994.0,4316.0,51733.0,0.9584508449734628,11.488308054451378,7,8,334,1982,1852
17,성동구,1062,81.78082191780823,311244.0,303380.0,7864.0,39997.0,2.5266350515993885,12.850689491203044,4,9,126,1607,1612
19,성북구,1464,63.62735381565907,461260.0,449773.0,11487.0,64692.0,2.490352512682652,14.025061787278323,3,3,64,832,1015
21,양천구,2034,34.67173087357569,479978.0,475949.0,4029.0,52975.0,0.8394134731175179,11.036964194192231,3,6,120,1890,2509
23,용산구,1624,53.216374269005854,244203.0,229456.0,14747.0,36231.0,6.038828351822049,14.836427070920504,5,14,194,1557,2050
25,은평구,1873,85.23725834797891,494388.0,489943.0,4445.0,72334.0,0.899091401894868,14.631018552230232,1,7,96,1095,1461
26,종로구,1002,248.92241379310343,162820.0,153589.0,9231.0,25425.0,5.669450927404496,15.61540351308193,3,6,115,1070,1278
27,종로구,1002,248.92241379310343,162820.0,153589.0,9231.0,25425.0,5.669450927404496,15.61540351308193,3,5,96,1114,1015
29,중구,671,147.6997578692494,133240.0,124312.0,8928.0,20764.0,6.700690483338337,15.583908736115282,1,6,65,1153,869
30,중랑구,660,79.96070726915521,414503.0,409882.0,4621.0,56774.0,1.114829084469835,13.696885185390698,13,11,187,2135,2847
