,CRI_YM,TAG,평일휴일,요일,시간대,성별,연령대,건수합계
0,201905,유아용품,평일,목,B.06-10시,F,A.2O대,291
1,202005,생활/사무용품,평일,월,D.14-18시,M,C.4O대,6225
2,201905,골프용품,휴일,일,F.22-02시,M,B.3O대,51
3,202105,화장품,휴일,일,D.14-18시,F,C.4O대,3564
4,202005,인테리어,평일,월,C.10-14시,F,D.5O대,1101
5,201905,식료품,평일,월,B.06-10시,M,E.60대이상,171
6,202005,서적,휴일,일,A.02-06시,M,C.4O대,128
7,202105,홈쇼핑,휴일,토,C.10-14시,F,D.5O대,14684
8,201905,가전,평일,목,B.06-10시,F,B.3O대,758
9,201905,골프용품,평일,화,C.10-14시,M,D.5O대,122
10,202105,차량정비_부품,휴일,토,C.10-14시,M,A.2O대,152
11,201905,취미용품,휴일,월,D.14-18시,F,E.60대이상,10
12,202005,서적,휴일,토,C.10-14시,F,E.60대이상,68
13,202105,유아용품,휴일,토,D.14-18시,F,B.3O대,2125
14,202105,애완용품,평일,화,D.14-18시,M,B.3O대,326
15,202005,유아용품,휴일,화,D.14-18시,M,B.3O대,224
16,202005,화장품,평일,월,C.10-14시,F,B.3O대,5591
17,202105,차량정비_부품,휴일,수,D.14-18시,M,C.4O대,303
18,202105,서적,평일,월,D.14-18시,M,D.5O대,926
19,201905,가전,평일,월,B.06-10시,F,E.60대이상,247
20,201905,취미용품,평일,화,E.18-22시,F,D.5O대,112
21,202105,유아용품,평일,금,E.18-22시,F,E.60대이상,55
22,202105,패션,평일,금,A.02-06시,M,C.4O대,670
23,202005,패션,평일,금,B.06-10시,F,A.2O대,2510
24,202105,가전,평일,수,D.14-18시,M,B.3O대,1552
25,202005,생활/사무용품,휴일,금,F.22-02시,F,D.5O대,438
26,202105,유아용품,휴일,수,A.02-06시,M,A.2O대,11
27,202105,가전,평일,화,B.06-10시,F,D.5O대,1042
28,201905,식료품,휴일,수,F.22-02시,M,E.60대이상,42
29,201905,차량정비_부품,평일,금,F.22-02시,M,A.2O대,105
30,201905,식료품,휴일,토,D.14-18시,M,B.3O대,1647
31,202005,차량정비_부품,휴일,금,C.10-14시,M,A.2O대,33
32,202105,서적,휴일,일,A.02-06시,F,D.5O대,63
33,201905,홈쇼핑,휴일,일,B.06-10시,M,E.60대이상,1180
34,202005,홈쇼핑,평일,월,E.18-22시,F,B.3O대,4054
35,202105,취미용품,평일,금,D.14-18시,F,D.5O대,240
36,202105,취미용품,평일,화,F.22-02시,M,A.2O대,235
37,202105,홈쇼핑,휴일,토,D.14-18시,M,C.4O대,3362
38,202105,홈쇼핑,평일,월,F.22-02시,M,B.3O대,2024
39,202005,스포츠의류용품,휴일,일,B.06-10시,F,A.2O대,123
40,202105,식료품,평일,목,D.14-18시,M,B.3O대,4684
41,202005,취미용품,평일,수,A.02-06시,M,A.2O대,50
42,202005,인테리어,휴일,토,D.14-18시,M,B.3O대,1379
43,202105,취미용품,휴일,토,F.22-02시,F,E.60대이상,39
44,201905,서적,평일,월,F.22-02시,M,E.60대이상,37
45,201905,생활/사무용품,휴일,일,D.14-18시,M,D.5O대,950
46,202105,가전,휴일,수,F.22-02시,F,E.60대이상,44
47,202105,유아용품,평일,수,A.02-06시,F,C.4O대,79
48,202005,차량정비_부품,휴일,토,F.22-02시,M,A.2O대,137
49,201905,스포츠의류용품,평일,목,C.10-14시,F,B.3O대,816
50,202005,인테리어,휴일,일,D.14-18시,F,D.5O대,1170
51,202005,서적,평일,금,F.22-02시,M,E.60대이상,53
52,202005,골프용품,휴일,화,C.10-14시,M,E.60대이상,4
53,202105,서적,휴일,수,B.06-10시,M,B.3O대,137
54,201905,생활/사무용품,평일,목,D.14-18시,F,E.60대이상,1574
55,201905,골프용품,평일,목,B.06-10시,M,C.4O대,112
56,202105,화장품,휴일,토,B.06-10시,M,D.5O대,411
57,202005,서적,평일,금,A.02-06시,M,C.4O대,95
58,202105,골프용품,평일,수,E.18-22시,M,C.4O대,120
59,201905,취미용품,평일,월,F.22-02시,F,D.5O대,62
60,202105,식료품,휴일,일,D.14-18시,M,D.5O대,2946
61,201905,생활/사무용품,휴일,수,A.02-06시,F,C.4O대,114
62,201905,인테리어,휴일,수,E.18-22시,M,B.3O대,331
63,201905,차량정비_부품,휴일,토,A.02-06시,M,A.2O대,32
64,201905,생활/사무용품,평일,목,D.14-18시,M,D.5O대,2068
65,201905,차량정비_부품,평일,수,C.10-14시,F,E.60대이상,21
66,202105,차량정비_부품,평일,목,C.10-14시,F,C.4O대,280
67,201905,취미용품,평일,월,C.10-14시,F,E.60대이상,25
68,201905,스포츠의류용품,평일,목,B.06-10시,M,E.60대이상,22
69,201905,패션,휴일,월,C.10-14시,M,B.3O대,1005
70,202005,차량정비_부품,휴일,일,E.18-22시,F,C.4O대,367
71,201905,골프용품,휴일,토,E.18-22시,F,A.2O대,8
72,202005,차량정비_부품,평일,월,E.18-22시,M,A.2O대,217
73,202005,식료품,휴일,토,B.06-10시,M,A.2O대,288
74,202005,화장품,휴일,토,F.22-02시,M,C.4O대,924
75,201905,인테리어,휴일,일,F.22-02시,M,C.4O대,674
76,202105,서적,평일,화,E.18-22시,F,B.3O대,1459
77,202105,차량정비_부품,평일,금,D.14-18시,M,B.3O대,685
78,202005,식료품,휴일,토,F.22-02시,F,D.5O대,1965
79,201905,서적,평일,금,D.14-18시,F,C.4O대,2224
80,201905,애완용품,평일,금,A.02-06시,F,A.2O대,65
81,201905,골프용품,휴일,일,F.22-02시,F,B.3O대,24
82,202105,패션,휴일,수,C.10-14시,F,A.2O대,2447
83,202005,홈쇼핑,평일,월,B.06-10시,M,D.5O대,1219
84,202005,골프용품,휴일,토,C.10-14시,M,B.3O대,102
85,202005,식료품,평일,수,B.06-10시,M,C.4O대,2225
86,201905,화장품,휴일,수,F.22-02시,M,E.60대이상,11
87,202005,인테리어,휴일,화,F.22-02시,M,C.4O대,400
88,202105,화장품,평일,수,B.06-10시,F,E.60대이상,95
89,201905,스포츠의류용품,휴일,월,C.10-14시,M,A.2O대,39
90,202005,차량정비_부품,평일,화,E.18-22시,F,C.4O대,215
91,201905,화장품,휴일,월,C.10-14시,M,C.4O대,149
92,201905,인테리어,휴일,토,F.22-02시,F,D.5O대,236
93,202005,식료품,휴일,금,F.22-02시,M,D.5O대,249
94,202005,인테리어,휴일,화,F.22-02시,F,E.60대이상,38
95,201905,유아용품,평일,수,C.10-14시,F,C.4O대,652
96,201905,식료품,평일,금,B.06-10시,M,A.2O대,476
97,201905,패션,휴일,수,D.14-18시,F,B.3O대,2210
98,202005,패션,휴일,금,C.10-14시,M,E.60대이상,141
99,201905,인테리어,평일,화,C.10-14시,F,A.2O대,752
100,202105,차량정비_부품,휴일,수,D.14-18시,F,E.60대이상,19
101,201905,스포츠의류용품,휴일,일,F.22-02시,M,A.2O대,214
102,202005,패션,평일,목,C.10-14시,F,A.2O대,6984
103,202105,서적,평일,수,A.02-06시,F,B.3O대,92
104,201905,애완용품,휴일,토,F.22-02시,F,E.60대이상,17
105,202105,애완용품,평일,화,D.14-18시,F,B.3O대,789
106,202105,패션,평일,수,A.02-06시,F,E.60대이상,79
107,201905,패션,평일,금,B.06-10시,M,C.4O대,2127
108,201905,생활/사무용품,휴일,수,E.18-22시,M,E.60대이상,93
109,202005,골프용품,휴일,금,E.18-22시,M,D.5O대,26
110,201905,차량정비_부품,평일,월,D.14-18시,M,C.4O대,653
111,202005,식료품,평일,금,E.18-22시,M,B.3O대,2778
112,202105,화장품,평일,화,E.18-22시,M,B.3O대,1224
113,201905,서적,평일,금,B.06-10시,M,D.5O대,309
114,201905,취미용품,휴일,월,A.02-06시,M,B.3O대,21
115,202005,홈쇼핑,평일,금,D.14-18시,M,D.5O대,1749
116,202005,골프용품,평일,금,A.02-06시,F,A.2O대,3
117,202005,인테리어,평일,월,B.06-10시,F,D.5O대,403
118,201905,식료품,평일,목,A.02-06시,F,B.3O대,771
119,202005,차량정비_부품,휴일,일,E.18-22시,M,D.5O대,312
120,202005,인테리어,평일,월,C.10-14시,F,C.4O대,2573
121,202105,스포츠의류용품,휴일,수,A.02-06시,F,C.4O대,57
122,202105,유아용품,휴일,일,E.18-22시,M,B.3O대,1158
123,202105,가전,평일,수,D.14-18시,F,A.2O대,371
124,201905,식료품,휴일,토,F.22-02시,M,E.60대이상,112
125,202005,서적,휴일,화,E.18-22시,F,B.3O대,281
