,Unnamed: 0,CRI_YM,TAG,평일휴일,요일,시간대,성별,연령대,건수합계
0,0,201905,7,0,1,1,0,0,291
1,1,202005,2,0,3,3,1,2,6225
2,2,201905,1,1,4,5,1,1,51
3,3,202105,13,1,4,3,0,2,3564
4,4,202005,8,0,3,2,0,3,1101
5,5,201905,5,0,3,1,1,4,171
6,6,202005,3,1,4,0,1,2,128
7,7,202105,12,1,5,2,0,3,14684
8,8,201905,0,0,1,1,0,1,758
9,9,201905,1,0,6,2,1,3,122
10,10,202105,9,1,5,2,1,0,152
11,11,201905,10,1,3,3,0,4,10
12,12,202005,3,1,5,2,0,4,68
13,13,202105,7,1,5,3,0,1,2125
14,14,202105,6,0,6,3,1,1,326
15,15,202005,7,1,6,3,1,1,224
16,16,202005,13,0,3,2,0,1,5591
17,17,202105,9,1,2,3,1,2,303
18,18,202105,3,0,3,3,1,3,926
19,19,201905,0,0,3,1,0,4,247
20,20,201905,10,0,6,4,0,3,112
21,21,202105,7,0,0,4,0,4,55
22,22,202105,11,0,0,0,1,2,670
23,23,202005,11,0,0,1,0,0,2510
24,24,202105,0,0,2,3,1,1,1552
25,25,202005,2,1,0,5,0,3,438
26,26,202105,7,1,2,0,1,0,11
27,27,202105,0,0,6,1,0,3,1042
28,28,201905,5,1,2,5,1,4,42
29,29,201905,9,0,0,5,1,0,105
30,30,201905,5,1,5,3,1,1,1647
31,31,202005,9,1,0,2,1,0,33
32,32,202105,3,1,4,0,0,3,63
33,33,201905,12,1,4,1,1,4,1180
34,34,202005,12,0,3,4,0,1,4054
35,35,202105,10,0,0,3,0,3,240
36,36,202105,10,0,6,5,1,0,235
37,37,202105,12,1,5,3,1,2,3362
38,38,202105,12,0,3,5,1,1,2024
39,39,202005,4,1,4,1,0,0,123
40,40,202105,5,0,1,3,1,1,4684
41,41,202005,10,0,2,0,1,0,50
42,42,202005,8,1,5,3,1,1,1379
43,43,202105,10,1,5,5,0,4,39
44,44,201905,3,0,3,5,1,4,37
45,45,201905,2,1,4,3,1,3,950
46,46,202105,0,1,2,5,0,4,44
47,47,202105,7,0,2,0,0,2,79
48,48,202005,9,1,5,5,1,0,137
49,49,201905,4,0,1,2,0,1,816
50,50,202005,8,1,4,3,0,3,1170
51,51,202005,3,0,0,5,1,4,53
52,52,202005,1,1,6,2,1,4,4
53,53,202105,3,1,2,1,1,1,137
54,54,201905,2,0,1,3,0,4,1574
