date,smp_max,smp_min,smp_mean
2018/01/01,95.93,73.69,84.88
2018/01/02,95.7,88.36,92.57
2018/01/03,96.47,88.37,92.34
2018/01/04,98.09,88.37,92.14
2018/01/05,96.12,88.23,92.42
2018/01/06,94.09,88.38,91.14
2018/01/07,93.31,85.28,88.42
2018/01/08,95.69,87.72,92.71
2018/01/09,95.71,88.48,92.61
2018/01/10,98.09,88.48,92.9
2018/01/11,99.04,88.24,93.89
2018/01/12,97.65,88.23,93.15
2018/01/13,99.41,88.41,91.16
2018/01/14,92.43,87.06,89.23
2018/01/15,95.69,82.1,92.17
2018/01/16,97.65,88.23,92.88
2018/01/17,94.09,88.36,91.88
2018/01/18,94.61,88.23,91.72
2018/01/19,96.1,88.23,91.71
2018/01/20,92.33,86.83,89.4
2018/01/21,94.45,83.8,88.11
2018/01/22,94.07,79.79,91.19
2018/01/23,105.21,88.23,92.63
2018/01/24,95.69,88.23,92.47
2018/01/25,97.65,88.23,93.36
2018/01/26,99.51,88.23,94.01
2018/01/27,97.84,88.38,91.31
2018/01/28,92.07,87.06,89.11
2018/01/29,95.69,88.2,92.79
2018/01/30,99.51,89.97,93.85
2018/01/31,99.27,88.36,93.37
2018/02/01,95.97,87.81,93.21
2018/02/02,97.23,87.21,92.96
2018/02/03,97.61,87.19,91.45
2018/02/04,93.7,85.73,90.02
2018/02/05,95.27,85.51,92.55
2018/02/06,99.08,87.68,93.41
2018/02/07,99.08,87.77,92.98
2018/02/08,95.73,87.85,93.12
2018/02/09,98.6,88.69,93.69
2018/02/10,99.45,90.3,93.04
2018/02/11,95.79,85.75,90.12
2018/02/12,97.23,86.33,93.63
2018/02/13,99.08,88.06,93.1
2018/02/14,97.66,86.76,91.05
2018/02/15,91.48,68.7,80.72
2018/02/16,96.53,51.12,68.88
2018/02/17,111.78,55.68,70.23
2018/02/18,89.57,68.68,80.11
2018/02/19,93.9,85.17,91.47
2018/02/20,95.81,89.74,93.02
2018/02/21,96.39,89.68,93.34
2018/02/22,94.66,86.77,92.33
2018/02/23,97.55,86.49,92.29
2018/02/24,92.75,86.47,91.06
2018/02/25,91.82,85.03,87.74
2018/02/26,94.06,81.59,91.68
2018/02/27,94.86,86.93,91.65
2018/02/28,94.37,86.83,91.46
2018/03/01,102.15,96.36,98.78
2018/03/02,105.78,96.62,102.33
2018/03/03,103.69,97.6,100.83
2018/03/04,104.02,94.96,98.49
2018/03/05,105.58,96.13,102.67
2018/03/06,104.68,99.6,102.72
2018/03/07,106.98,99.46,102.92
2018/03/08,105.39,99.46,102.72
2018/03/09,105.08,97.99,102.83
2018/03/10,105.1,98.33,101.64
2018/03/11,103.17,95.17,99.4
2018/03/12,105.66,96.67,102.71
2018/03/13,104.57,99.46,102.28
2018/03/14,104.5,97.79,101.71
2018/03/15,104.11,99.32,101.58
2018/03/16,106.28,98.27,101.79
2018/03/17,101.58,95.15,98.35
2018/03/18,102.3,90.21,96.4
2018/03/19,103.79,90.08,99.91
2018/03/20,104.93,96.11,101.51
2018/03/21,105.04,97.85,102.06
2018/03/22,103.5,99.46,101.73
2018/03/23,104.89,97.79,102.48
2018/03/24,111.28,97.33,102.94
2018/03/25,102.57,95.73,98.04
2018/03/26,104.43,96.32,101.86
2018/03/27,103.61,99.18,101.49
2018/03/28,103.35,99.21,100.95
2018/03/29,103.75,96.89,100.83
2018/03/30,103.14,96.47,99.96
2018/03/31,100.13,95.46,98.23
2018/04/01,90.58,85.17,87.07
2018/04/02,95.01,81.63,89.97
2018/04/03,94.94,86.66,90.58
2018/04/04,93.7,86.55,91.06
2018/04/05,94.07,86.48,91.52
2018/04/06,93.54,86.3,91.29
2018/04/07,89.61,85.6,88.34
2018/04/08,89.49,84.9,86.79
2018/04/09,93.67,74.7,90.33
2018/04/10,93.93,87.63,91.52
2018/04/11,93.74,87,91.54
2018/04/12,93.91,87.49,91.5
2018/04/13,93.69,87.37,91.5
2018/04/14,90.63,87.24,89.14
2018/04/15,88.37,85.92,87.56
2018/04/16,94.18,85.5,91.7
2018/04/17,94.83,88.56,92.38
2018/04/18,93.61,87.7,91.84
2018/04/19,94.12,87.63,91.66
2018/04/20,93.7,87.96,91.51
2018/04/21,88.94,88.31,88.78
2018/04/22,88.76,85.51,86.9
2018/04/23,95.94,86.04,92.04
2018/04/24,96.01,87.72,92.47
2018/04/25,96.57,88.5,92.59
2018/04/26,96.5,87.8,93.24
2018/04/27,93.79,87.8,91.73
2018/04/28,89.49,87.45,88.71
2018/04/29,88.53,86.5,87.43
2018/04/30,92.44,81.88,89.59
2018/05/01,89.3,85.76,87.44
2018/05/02,92.33,85.7,90.12
2018/05/03,90.98,84,88.38
2018/05/04,91.06,83.8,88.63
2018/05/05,86.3,83.56,85.44
2018/05/06,84.72,80.15,82.14
2018/05/07,87.41,67.28,82.68
2018/05/08,91.13,80.15,87.88
2018/05/09,91.99,85.78,89.25
2018/05/10,91.97,85.89,89.4
2018/05/11,90.72,84.35,88.5
2018/05/12,90.68,84.86,87.51
2018/05/13,88.02,80.55,83.92
2018/05/14,92.17,67.02,87.71
2018/05/15,93.83,84.26,89.51
2018/05/16,94.33,83.75,90.42
2018/05/17,94.37,83.6,89.7
2018/05/18,93.52,83.58,89.03
2018/05/19,84.3,81.54,83.36
2018/05/20,84.78,66.54,71.7
2018/05/21,90.67,63.23,82.43
